sza,local_time,mlt,mlat,lat,rio,date,S_sn,mS_sn,S_avcc,mS_avcc,S_avmb,mS_avmb,S_sw,mS_sw
71.473,7.458,5.394,55.317,49.320,pen,2012-05-09 14:08:00,-0.013,-0.006,-0.010,-0.005,-0.033,-0.014,-0.019,-0.009
61.136,17.408,17.028,54.988,45.400,ott,2012-05-09 21:05:00,-1.360,0.557,-1.559,0.365,-0.393,0.089,-1.044,0.716
46.616,16.408,14.677,59.176,49.920,brd,2012-05-09 21:05:00,-0.915,-0.299,-1.025,-0.336,-0.283,-0.089,-0.733,-0.245
36.581,14.408,13.011,55.317,49.320,pen,2012-05-09 21:05:00,0.164,0.101,0.181,0.116,0.054,0.030,0.141,0.081
57.168,8.725,7.773,54.973,45.400,ott,2012-07-04 12:24:00,-0.020,0.061,-0.004,0.083,-0.142,-0.041,-0.038,0.032
72.801,7.725,5.423,59.168,49.920,brd,2012-07-04 12:24:00,0.008,0.004,0.002,0.002,0.039,0.015,0.017,0.007
84.646,5.725,3.756,55.314,49.320,pen,2012-07-04 12:24:00,-0.118,-0.024,-0.104,-0.011,-0.190,-0.083,-0.132,-0.040
67.451,18.475,18.001,54.973,45.400,ott,2012-07-04 22:09:00,-0.390,0.349,-0.495,0.455,-0.047,-0.016,-0.242,0.235
51.106,17.475,15.651,59.168,49.920,brd,2012-07-04 22:09:00,0.085,0.179,0.078,0.211,0.024,0.035,0.097,0.138
39.009,15.475,13.985,55.314,49.320,pen,2012-07-04 22:09:00,-1.197,0.388,-1.375,0.243,-0.271,0.218,-0.898,0.673
64.243,8.058,7.196,54.973,45.400,ott,2012-07-05 11:44:00,-0.515,0.292,-0.618,0.466,0.025,-0.247,-0.337,0.115
78.945,7.058,4.846,59.168,49.920,brd,2012-07-05 11:44:00,-0.147,-0.045,-0.140,-0.038,-0.192,-0.076,-0.154,-0.053
90.168,5.058,3.180,55.314,49.320,pen,2012-07-05 11:44:00,-9066384502772304410516889241194774659072.000,-46545333097534267392.000,-9066384502772304410516889241194774659072.000,-46545333097534267392.000,-9066384502772304410516889241194774659072.000,-46545333097534267392.000,,
